Service,Performance Measure Index,Performance Measure  Name,Alignment with Council Priority Area,2023 Value,2024 Value,Expected Future Value,Story behind the number,Performance Measure Status,Level of alignment,Approved by Service Director on
"Data, Analytics & Information Access",Performance Measure 2,Number of City employees accessing GIS data and mapping products - GIS Technology Adoption,Land Use & Local Area Planning,13879,5869,9500,"During the first half of this year, there was an increase in the number of users accessing Geographic Information System (GIS) data. It is anticipated that this trend will continue, surpassing the year-end target. This growth can be attributed to the promotion of self-serve employee tools and a broader organizational shift toward leveraging technology for operational efficiencies and data-driven decision-making. This is especially evident in areas that directly support planning services through use of GIS applications including the City-wide rezoning map, Development map (D-Map) and Local Policy Plan maps.",Progressing as planned,Secondary,07/11/2024
"Data, Analytics & Information Access",Performance Measure 3,Base Map Updates - registered survey plans that are mapped within 21 days of receipt (per cent),Land Use & Local Area Planning,96,92,95,"In 2024, the workload for this aspect of our operations remained consistent with the increased workload observed in 2023. Other areas of our operations also experienced heightened activity, including a greater volume of tentative plans, address management, and mapping of building footprints for new construction. However, due to this substantial increase in workload, the base mapping staff faced challenges in maintaining operational efficiency and meeting processing targets.",Progressing as planned,Secondary,07/11/2024
"Data, Analytics & Information Access",Performance Measure 4,Addressing Updates - external addressing service requests resolved within 10 days of receipt (per cent),Public Safety,29,17,50,"The lower-than-expected performance can be attributed to increased workloads resulting from new developments and redevelopments. Between June 2023 and June 2024, job volume rose by 41 per cent, even more significant considering the record 56 per cent increase in 2023. Additionally, the increase in number of online systems relying on addressing information led to extensive triage for suspected invalid addresses, causing address validation delays.

As a result of these challenges, staffing remains an issue due to the workload surge. Limited-term staffing ensures service continuity.",Progressing as planned,Primary,07/11/2024
"Data, Analytics & Information Access",Performance Measure 5,Number of open data sets available on Open Calgary Portal,Not Applicable,414,428,390,"The increase in the number of available datasets corresponds to the capacity of our current Open Data Strategist resource. As we expand our team in this area, we anticipate an even larger increase of available datasets.",Progressing as planned,Primary,07/11/2024
Development Approvals,Performance Measure 1,Significant development proposals that  have a Good or Excellent urban design rating at  the time of approval (per cent),Not Applicable,45,0,80,,Not reported,Not Applicable,
Development Approvals,Performance Measure 2,Civil engineering designs approved with one or no revisions (per cent),Not Applicable,65,0,75,,Not reported,Not Applicable,
Development Approvals,Performance Measure 3,Technical development applications where decision timelines were met (per cent),Not Applicable,86,83,90,Technical development application volumes have increased during the first half of 2024 compared to 2023. We continue to see strong decision performance at 83% year to date. Technical Planning leverages team experience to move files through the application process quickly while acting as subject matter experts on process improvement and technological initiatives to benefit both customers and staff.,Progressing as planned,Primary,07/23/2024
Development Approvals,Performance Measure 4,Multidisciplinary development applications where decision timeline commitments were met (per cent),Not Applicable,83,78,85,"Increased volumes and complexity of applications have continued to challenge the planning and engineering teams reviewing multidisciplinary applications. At 78% on-time decision performance, this metric sits below our targeted commitment of 85%. Ongoing hiring efforts along with retention and engagement strategies pave the way for increased performance in the coming months. Staff remain committed to their work and our customers while making all efforts to balance workloads.",Not progressing as planned,Primary,07/23/2024
Development Approvals,Performance Measure 5,Average customer satisfaction from post-application surveys (per cent),Not Applicable,90,0,95,,Not reported,Not Applicable,
Economic Development & Tourism,Performance Measure 1,Number of Direct Jobs created/retained/expanded (Collected by Calgary Economic Development),Not Applicable,7183,3128,10563,"Tech is flourishing in Calgary including Amazon’s recent investment of more than $400 million in fulfillment centres that created 1,500 new jobs. Fortinet’s new Calgary headquarters created 165 new jobs and reinforced Calgary as a centre of excellence in fintech and cyber security. UK-based Achilles and Veripark have also recently made Calgary their North American and Canadian hubs, respectively. Calgary Economic Development’s (CED) focus on South Korea as a key market, supported by WestJet’s recently launched Calgary-Seoul flight, is paying off with Bore Da Biotech marking CED’s first life sciences investment from South Korea.",Progressing as planned,Not Applicable,07/04/2024
Economic Development & Tourism,Performance Measure 2,Economic impact of TELUS Convention Centre delegates (Provided by the Calgary Convention Centre Authority) (millions of dollars),Downtown Revitalization,17,24,24,"The Calgary TELUS Convention Centre hosted 92 events with 66,742 delegates, generating $23.9 million in total direct economic impact for Calgary, meeting the organization’s 2023 target already by mid-year. The total economic impact to date is $50.7 million - $23.9 million direct impact, $16.6 million indirect impact and $10.1 million induced impact. Direct economic impact is spending tied to the delegates specifically. Indirect and induced impact is related to spending by businesses that are affected by the meetings and conventions at the facility. The organization is on pace to meet or exceed the total economic impact in 2023.",Progressing as planned,Primary,07/04/2024
Economic Development & Tourism,Performance Measure 3,Number of innovation driven startups that transition to five employees or more in a year,Downtown Revitalization,109,0,100,,Not reported,Primary,07/04/2024
Economic Development & Tourism,Performance Measure 4,Cultural Attraction Attendance (millions),Not Applicable,0,0,3,,Not reported,Primary,07/04/2024
Economic Development & Tourism,Performance Measure 5,Leverage ratio of funds contributed by Partners to support program and service delivery,Not Applicable,0,0,4,,Not reported,Secondary,07/04/2024
Emergency Management & Business Continuity,Performance Measure 1,City services that are compliant with corporate business continuity policy (per cent),Public Safety,0,91,100,"This measures the service’s role in coordinating corporate business continuity planning activities. The target was set to align with the Business Continuity Planning administrative policy which focuses on maintaining 100 per cent compliance. The service completed its annual compliance reporting for the Business Continuity Program during Q1/Q2. For 2023, 31 out of 34 business units complied with the policy. The service is working with the non-compliant business units with the goal of achieving compliance by year end.",Progressing as planned,Primary,07/11/2024
Emergency Management & Business Continuity,Performance Measure 2,Participants who completed emergency preparedness programming who feel more prepared for emergencies (per cent),Public Safety,92,92,92,"This measures the service’s role in preparing the community for emergencies and the service continues to meet the target. The target is based on historic baseline data and the focus is on maintaining a high standard while continuing to expand access to programming. For Q1/Q2, over 1,100 people have accessed the service’s e-courses with 92 per cent of survey respondents feeling more prepared upon completion.",Progressing as planned,Primary,07/11/2024
Emergency Management & Business Continuity,Performance Measure 3,Agency members who feel confident in their ability to fill their role if called to the Emergency Operations Centre (per cent),Not Applicable,96,0,90,,Not reported,Not Applicable,
Emergency Management & Business Continuity,Performance Measure 4,Agency members who are satisfied in the leadership provided to the Calgary Emergency Management Agency (per cent),Not Applicable,92,0,98,,Not reported,Not Applicable,
Emergency Management & Business Continuity,Performance Measure 5,Agency members who are confident in their understanding of local disaster risks (per cent),Not Applicable,96,0,98,,Not reported,Not Applicable,
Executive Leadership,Performance Measure 1,City of Calgary Credit Rating,Not Applicable,0,0,0,"The City's AA+ credit rating did not change during this reporting period. As noted in the previous update, Calgary's AA+ credit rating is the strongest for municipalities in Alberta.",Progressing as planned,Primary,07/22/2024
Executive Leadership,Performance Measure 2,Calgarians who trust in The City of Calgary (per cent),Not Applicable,46,38,66,"The 2024 Spring Survey of Calgarians revealed an eleven-point drop in this metric from the previous Fall Survey. Like other municipalities, Calgary continues to experience decreasing levels of resident trust tied to political polarization and economic issues. These results are also consistent with global trends related to the erosion of social cohesion and misinformation. Executive Leadership continues to monitor these developments and is enhancing its messaging to Calgarians to improve resident and business understanding of The City's service delivery, programs, and actions.",Not progressing as planned,Primary,07/22/2024
Executive Leadership,Performance Measure 3,Calgarians with positive perceptions of the value of property taxes (per cent),Not Applicable,50,44,60,"Calgarians' perception of value from property taxes dropped by six percent since the Fall Survey. The main factor driving this change appears to be driven by economic factors. Generally, Calgarians who state they have a good quality of life and are satisfied with The City's services and programs are more likely to report that have received good value from their tax dollars. This highlights the importance of customer service and meeting residents' service expectation. Accordingly, Executive Leadership continues to focus on strengthening the organization's culture with a focus on customer service and service excellence.",Not progressing as planned,Primary,07/22/2024
Executive Leadership,Performance Measure 4,Employee Engagement Index,Not Applicable,76,0,77,"The next employee engagement results will be released Fall 2025. Executive Leadership continues to focus on strengthening The City's culture and leadership practice, as required to modernize municipal government and adapt to the rapidly changing political, economic, and social environment.",Not reported,Primary,07/22/2024
Executive Leadership,Performance Measure 5,Calgarians’ satisfaction with how Administration and Council runs the city (per cent),Not Applicable,62,58,75,"TThe working relationship between Council and Administration is a driver of trust for Calgarians. This metric has dropped four percentage points since the Fall 2023 Survey of Calgarians and is fourteen points lower from its peak of 72 percent in late 2021 during the pandemic. Executive Leadership continues to work closely with Council to serve and support Calgarians and operate a sustainable municipal government supportive of Calgarians’ needs. External factors also contribute to negative perceptions such as economic challenges including inflation, interest rates, and food and housing affordability experienced by many cities.",Not progressing as planned,Primary,07/22/2024
Facility Management,Performance Measure 1,Facility Management Age Based Deferred Maintenance (millions of dollars),Not Applicable,854,902,812,"Age-based Deferred Maintenance has grown since 2023 due to transfer of assets through the Corporate Coordinated Operations & Maintenance (CCOM) Program and updates to decay assumptions utilized in the Enterprise Asset Management (EAM) system; the current estimate is $901.7 million. However, this deferred maintenance value has stabilized over first half of 2024 due to: 1) increased resources available to review, update and enter more building condition data, 2) a slowdown of facilities transferred through CCOM in 2024 and 3) continued investments that slow the decay rate.",Progressing as planned,Primary,07/19/2024
Facility Management,Performance Measure 2,Proportion of Work Orders that are Preventative Maintenance (per cent),Not Applicable,63,67,70,"Despite the significant increase in facilities transferred through the Corporate Coordinated Operations & Maintenance (CCOM) program, Facilities continues to trend towards meeting its 2026 target, currently at 67 per cent Preventative Maintenance (PM) to 33 per cent on-demand (OD). To continue to achieve and maintain the targeted PM to OD ratio, Facilities has been identifying & harmonizing opportunities across the full portfolio and monitoring the on-demand cycle to identify areas of high demand that can proactively be addressed by the PM program instead.",Not progressing as planned,Primary,07/19/2024
Facility Management,Performance Measure 3,Facility Management Assets in Poor & Critical Condition (per cent),Not Applicable,16,12,17,"Facilities continues to improve data by using Building Condition Assessments (BCAs) and completing BCAs on assets transferred without prior assessments in place. The Asset Management team has completed 160 BCAs to date and are targeting to complete an additional 114 BCAs; the majority are new BCAs, but may include re-inspections. BCAs are used to prioritize investment (including the additional $20M from 2023) into assets, including 12 per cent of buildings assessed as having poor and critical components.",Progressing as planned,Primary,07/19/2024
Facility Management,Performance Measure 4,Hybrid Workspace for Key Downtown Administrative Buildings (per cent),Downtown Revitalization,17,0,21,"Facilities continues to look for innovative solutions to manage growing staff without growing beyond our Corporate footprint; this includes exploring new workstyles, including desk sharing, mobile stations, and other workstyles that may increase space utilization. Facilities also continues to support efficient workspace planning for existing anchored spaces, maximizing the available space to accommodate workplace needs.",Not reported,Primary,07/19/2024
Facility Management,Performance Measure 5,Energy Consumption per Square Meter for Office and Recreation Portfolios (GJ/SQM),Climate,3,0,1,"Overall energy consumption at City Facilities has stabilized over the previous year across the Recreation and Office portfolios (3.0 and 1.0 Gigajoules per square metre, respectively), but are still trending downward from 2019 levels. Facilities continues to invest in improvements towards building energy efficiency and reducing energy consumption in order to meet 2026 targets.",Not reported,Primary,07/19/2024
Real Estate,Performance Measure 4,"Total number of real estate transactions (includes sales, acquisitions, leases, licenses, utility right of way, easement, restricted covenant, option to repurchase, or any other real estate transactions)",Not Applicable,366,0,250,,Not reported,Not Applicable,
Financial Support,Performance Measure 2,Unmodified External Audit Opinion with no Unaddressed Audit Findings (per cent),Not Applicable,100,100,100,"The City strives for an unmodified opinion issued annually by the external auditor, which was achieved with no unaddressed audit findings reported again this year. This is based on audit evidence obtained about the amounts and disclosures of the financial statements which are completed competently with a focus on implementation of new Public Sector Accounting Standards.",Progressing as planned,Secondary,07/15/2024
Financial Support,Performance Measure 3,Invoices Paid within 30 days (per cent),Not Applicable,83,85,90,"Accounts Payable’s standard is to pay invoices on time and not within a set number of days.  While a payment term of 30 days is common, there are often other payment terms attached to invoices. Per cent of invoices paid within 30 days should be viewed as a guide to the magnitude and direction of timely payments made by Accounts Payable but it does not completely reflect The City’s commitment to timely payment.",Progressing as planned,Secondary,07/15/2024
Financial Support,Performance Measure 4,Bad debt write-off as a per cent of billed revenue (per cent),Not Applicable,0,0,0,"The collaborative and solutions-focused approach to managing financial and reputational risk associated with outstanding corporate receivables continues to be effective.   
As of 2024 June 30, total write-offs of approximately $122 thousand were recognized against total billed revenue of approximately $223.7 million.",Progressing as planned,Secondary,07/15/2024
Financial Support,Performance Measure 5,Accounts Payable Operating Cost per Invoice Processed (dollars),Not Applicable,7,7,6,"Performance results for accounts payable remain consistent with those of recent years.  While there are minor variations from year-to-year, the results continue to reflect accounts payable’s ongoing commitment to efficient processing with existing resources while managing the increasing volume of payments to The City’s partners in our community.",Progressing as planned,Secondary,07/15/2024
Fire & Emergency Response,Performance Measure 1,First-in engine emergency responses within seven minutes to fire incidents (per cent time target is achieved),Public Safety,83,83,86,"From January to May, overall performance of first-in engine emergency response time remains relatively consistent despite an increased volume of 381 first-in engine responses to fire emergencies compared to the same period last year. First-in engines arrive at fires within seven minutes and 44 seconds 90 per cent of the time. The service is examining short and long-term strategies to improve this metric, including reinstating a medical response unit at Station 2 to enable the first-in engines to just focus on fire incidents.",Progressing as planned,Primary,07/09/2024
Fire & Emergency Response,Performance Measure 2,"Arrival of two engines, one aerial unit and a minimum of 12 firefighters within 11 minutes at serious and escalating fires (per cent time target is achieved)",Public Safety,70,64,77,Arrival times of critical resources to serious and escalating fires has decreased by 7.5 per cent as compared to the same period last year (January to May). The 90th percentile response time for arriving at these incidents is 13 minutes and 57 seconds. It is important to note that due to the relatively small volume of serious and escalating fires there is a significant variation in the 90th percentile statistic for this measure. The service will increase staffing on aerial units in 2025 and 2026 to support improved performance and will analyze the impact to the measure due to new community growth.,Not progressing as planned,Primary,07/09/2024
Fire & Emergency Response,Performance Measure 3,Flame spread limited to within the room or object of origin (per cent time achieved),Public Safety,78,83,67,"From January to May, the service exceeded the target of 67 per cent, demonstrating improved containment of flame spread to within the room or object of origin compared to the same period last year. Flame spread is influenced by various factors, including fire type, location, structural design, safety systems and preventive measures.",Progressing as planned,Secondary,07/09/2024
Fire & Emergency Response,Performance Measure 4,First-in unit emergency responses within six minutes thirty seconds at critical medical incidents (per cent time target is achieved),Public Safety,84,80,88,First-in unit response time has declined by 5 per cent over the same period as last year (January to May) and the 90th percentile response time is 21 seconds longer. The number of critical medical incidents are historically elevated but have decreased by 12 per cent compared to the same period last year. The call dispatch time for critical medical incidents has increased by 10 seconds compared to the same period in 2023 and it is 26 seconds more than the benchmark time of 30 seconds. The service is working with Calgary 911 to identify root cause.,Not progressing as planned,Primary,07/09/2024
Fire & Emergency Response,Performance Measure 5,Number of Calgarians engaged in fire prevention and life safety education by firefighters,Public Safety,138859,11688,140000,"The service continues to educate Calgarians through various programs, including School Fire Drills and Station Tours requested through 311. So far from January to May, 5,301 Calgarians visited fire stations for tours, averaging 20 visitors per tour. Key engagement programs such as the Home Safety Program and Fire Safety Reports will start later in the year. The service is also exploring opportunities to enhance Fire Safety Education programs to target vulnerable populations.",Progressing as planned,Primary,07/09/2024
Fire Inspection & Enforcement,Performance Measure 1,Number of fire safety inspections performed by Inspectors,Public Safety,18939,9872,18000,"From January to May, the service experienced a 25 per cent increase in demand for inspections due to the increasing volume of high-risk occupancies, citizen complaints and requests and inquiries compared to the same period last year. The service continues to observe an increased demand for inspections and it is projected to conduct more than the targeted 18,000 inspections by the year end.",Progressing as planned,Primary,07/09/2024
Fire Inspection & Enforcement,Performance Measure 2,3-1-1 Customer Service Requests completed on time (per cent),Public Safety,86,88,98,"From January to May, the service completed 88 per cent of inspections on time but performance is 10 per cent lower than in the same period last year. The service continues to observe complex issues in residential high-risk occupancy groups (i.e., secondary suites) that are resulting in more violations and these are taking longer to complete resulting in an open 311 service request until such time that all the violations are resolved by the customer. The service is exploring optimizing this measure to accurately report on service response as compared to the number of re-inspections.",Not progressing as planned,Primary,07/09/2024
Fire Inspection & Enforcement,Performance Measure 3,Reduction in fire risk level for inspectable properties citywide (per cent),Public Safety,-2,4,0,"The service reduced the fire risk level for inspectable properties (January to May). A new parameter capturing the risk for residential occupancies was included in 2023, resulting in an increase in the fire risk level for inspectable properties. The 2023 year-end measure changed from -1.6 to -3.6 due to increased risk across these inspectable properties and resulted in certain properties being prioritized for inspection. As a result, the service is working through a large volume of high-risk inspections.",Progressing as planned,Primary,07/09/2024
Fire Inspection & Enforcement,Performance Measure 4,Re-inspection ratio (per cent),Public Safety,39,41,30,"The service experienced an increase compared to the same period last year (January to May), which is attributed to increasing complexity of violations in high-risk occupancies. This is due to the length of time that certain properties have not completed an inspection and results in a higher volume of code violations. The service plans to engage and educate all customers and determine strategies to reduce re-inspections.",Not progressing as planned,Primary,07/09/2024
Fire Inspection & Enforcement,Performance Measure 5,Number of structure fires in commercial/Industrial/multi-family occupancies,Public Safety,185,74,104,"The number of fires in inspectable properties, including commercial, industrial and multi-family occupancies, increased compared to 69 fires in the same period last year (January to May). Approximately 68 per cent of structure fires happen in multi-family occupancies whereas structure fires in commercial and industrial occupancies make up a smaller proportion and are trending downwards. The service is exploring delivery models that will enable expansion and enhancement of its prevention inspection program offerings to further reduce community risks, especially with a focus on multi-family occupancies.",Progressing as planned,Primary,07/09/2024
Fire Safety Education,Performance Measure 1,Number of Calgarians contacted annually about fire prevention and life safety through non-emergency initiatives,Public Safety,55459,34870,267954,The service contacted 30 per cent more Calgarians compared to the same period last year (January to May). The service continues to focus on in-person engagements and is challenged to meet targets due to capacity limitations. The service is exploring other channels such as social and digital media to deliver programming that better serves the community's needs.,Not progressing as planned,Primary,07/09/2024
Fire Safety Education,Performance Measure 2,Number of Calgarians experiencing vulnerabilities that receive fire safety education,Public Safety,31956,32138,121141,"From January to May, the service provided a modest increase in fire and life safety education to individuals experiencing vulnerabilities as compared to 2023. The addition of a new public education officer supported the achievement of this result. As the population of individuals experiencing vulnerabilities is expected to increase, the service is exploring alternate methods of delivering education services.",Not progressing as planned,Primary,07/09/2024
Fire Safety Education,Performance Measure 3,Calgarians that believe they are prepared and have a plan to deal with a fire emergency (per cent),Public Safety,81,0,92,,Not reported,Primary,
Fire Safety Education,Performance Measure 4,Contacts who feel safer and better equipped with fire and life safety information after receiving education (per cent),Public Safety,98,88,75,"From January to May, 88 per cent of participants in the School Fire Drill Program reported feeling safer and better equipped with fire and life safety information after receiving education. The service is performing above its target and will continue to use community risk data to identify fire and life safety risks. The service will continue to tailor its program to target specific demographics across Calgary based on the fire and life safety risks of a particular community.",Progressing as planned,Primary,07/09/2024
Fire Safety Education,Performance Measure 5,Communities in Calgary exceeding the community fire risk threshold (per cent),Public Safety,0,0,7,,Not reported,Secondary,
Fleet Management,Performance Measure 1,"Carrier Profile Risk Factor (calculation using collisions, convictions, and inspections) (rating)",Public Safety,0,0,0,"The mid-year Carrier Profile Risk Factor is 0.182, down from the January 2024 value of 0.214.  The City is now in Stage 1 monitoring (down from Stage 3 in Q1 2024). This reflects the positive impact of ongoing risk management initiatives and the changes in the risk factor scoring process that were implemented to improve the carrier profile's risk monitory. The service will continue to manage risk and focus on improving driver behaviour to move out of provincial monitoring in 2024.",Progressing as planned,Primary,07/15/2024
Fleet Management,Performance Measure 2,Maintenance labour hours spent on unplanned jobs - Fix-on-Fail Jobs (per cent),Not Applicable,29,32,29,"So far in 2024, 31.7 per cent of time has been spent on work for unexpected vehicle breakdowns, which is slightly higher than the target. The City's aim is to provide preventative maintenance that reduces unexpected breakdowns, allowing consistent and predictable services to be delivered to citizens.

The 2024 average percentage of fix-on-fail jobs is above the targeted maximum as there continue to be delays in receiving new replacement units. A third of the fleet is beyond prime economic life, an increase from 2023, leading to more unexpected breakdowns. There have also been warranty issues with new side-load refuse trucks.",Progressing as planned,Primary,07/15/2024
Fleet Management,Performance Measure 3,Underutilized Light-Duty Fleet (per cent),Not Applicable,22,21,15,"By mid-year 2024, 21.4 per cent of light-duty fleet vehicles in prime life were underutilized (i.e., driven less than 7,500 km and used fewer than 125 days). This is almost the same as the per cent calculated at the end of 2023 and an improvement from the previous years (24 per cent in 2020 and 22 per cent in 2021). The impact of light-duty vehicles that moved over to Fleet Management from other business units (i.e., Calgary Parking Authority, Calgary Transit) following corporate realignment must still be fully realized. The target is 15 per cent by the end of 2026.",Progressing as planned,Secondary,07/15/2024
Fleet Management,Performance Measure 4,Total Fuel Consumed by Light-Duty Vehicles (Litres per 100 km),Not Applicable,17,16,17,"By the end of June, the fuel liters used per 100 kilometers were trending downward, with 15.6 L/100 km used. This is an improvement from 2023 (17.3 L/100 km) and has surpassed the 2026 target of 17 L/100 km.  This decrease is a result of multiple initiatives, such as The City's idling reduction program and green driving program, which have proven effective. Since 2020, year-over-year idling for corporate fleet vehicles has steadily decreased.",Progressing as planned,Secondary,07/15/2024
Fleet Management,Performance Measure 5,Fleet-Owned Vehicles that are Green (per cent),Climate,5,6,6,"As of mid-year 2024, 5.5 percent of Fleet-owned vehicles are either battery electric (43) or hybrid (89), meeting the business cycle target. Compared to the end of 2023, when the value was 4.8 percent, Fleet has acquired 20 additional hybrid units. Fleet Management is making progress toward modernizing and greening the municipal fleet in support of the Green Fleet Program and corporate climate mitigation efforts.",Progressing as planned,Primary,07/15/2024
Human Resources Support,Performance Measure 1,Leadership Impact Index,Social Equity,69,69,69,"Data for this measure is from the biennial Corporate Employee Survey. The 2023 performance index for Leadership Impact suggests that the organization has made some progress in supporting increased leadership accountability, employee empowerment, culture, and employee engagement. Focusing on creating a more inclusive, respectful and accountable workplace culture continues to be a key corporate and Human Resources Support priority.",Progressing as planned,Secondary,07/11/2024
Human Resources Support,Performance Measure 2,Employee Engagement Index,Social Equity,76,76,77,"Data for this measure is from the biennial Corporate Employee Survey. The 2023 performance index for Employee Engagement suggests that the organization has made some progress in supporting increased employee engagement. Focusing on creating a more inclusive, respectful and accountable workplace culture continues to be a key corporate and Human Resources Support priority.",Progressing as planned,Secondary,07/11/2024
Human Resources Support,Performance Measure 3,Inclusion Index,Social Equity,74,74,75,"Data for this measure is from the biennial Corporate Employee Survey. The 2023 performance index for Inclusion suggests that the organization has made some progress in addressing issues of reconciliation, human rights, anti-racism, equity, diversity and inclusion. Focusing on creating a more inclusive, respectful and accountable workplace culture continues to be a key corporate and Human Resources Support priority.",Progressing as planned,Secondary,07/11/2024
Human Resources Support,Performance Measure 4,Employee voluntary turnover rate (per cent),Social Equity,3,2,5,"In the first half of 2024, the voluntary turnover rate (resignations + retirements) for City Administration was 2.0 per cent, the lowest compared to the same period in the last five years. While there is a slight upward trend in employee resignations, due to the growth in the headcount the rate remains stable. Retirements have remained stable since 2022 at The City, with the annual rates of 2.0 per cent and 2.1 per cent, 2022 and 2023 respectively, which align with industry standards, as per Conference Board of Canada Benchmarking.",Progressing as planned,Secondary,07/11/2024
Human Resources Support,Performance Measure 5,Human Resources Voluntary Turnover Rate (per cent),Social Equity,4,2,8,"In the first half of 2024, the voluntary turnover rate for Human Resources was 1.5 per cent, the lowest compared to the same period in the last five years (which was in between 5.6 in 2023 and 11.3 in 2021). Voluntary turnover year to date was solely driven by retirements.",Progressing as planned,Secondary,07/11/2024
Infrastructure & Engineering,Performance Measure 1,Asset-intensive service lines with completed maturity assessment (per cent),Not Applicable,14,29,100,"An Asset Management Maturity Assessment has been completed for Mobility. The Maturity Assessment for Potable Water is undergoing final review. The Assessment for Wastewater is underway, and work is progressing on developing improvement strategies and plans. The Stormwater assessment has been delayed until later in the year. Although some assessments have proceeded slower than expected, primarily due to resource constraints and the response to the Bearspaw South feeder main break, we still expect to achieve our goal by the end of 2026.",Progressing as planned,Secondary,07/11/2024
Infrastructure & Engineering,Performance Measure 2,Number of completed Value Management studies,Not Applicable,7,8,5,"In 2024, we completed one Value Management Study for Richmond Green Park by Parks and Open Spaces to ensure it achieves its objectives in the most efficient and effective manner. Key outcomes of the Richmond Green Park Study include adjustment of initial cost estimates for contractor markups and inflation rates, aligning the project with its budget, potential savings of approximately $2M identified from the original $25M estimate, and generation of numerous ideas to improve the park's use for all Calgary residents. 

Preliminary conversation is underway for another study for Capital Priorities & Investments in Fall 2024.",Progressing as planned,Secondary,07/11/2024
Infrastructure & Engineering,Performance Measure 3,Capital managed in the corporate Project Management System (per cent),Not Applicable,44,55,100,"The percentage is calculated by dividing the 2024 budget of projects managed in the Project and Program Management (P2M) system by the approved total 2024 budget of the corresponding projects in the Financial & Supply Chain Management (FSCM) system. To enhance this value, we have made efforts to identify capital projects and programs that are not yet managed in P2M, collaborate with stakeholders to transition them to the P2M platform, and provide subsequent training.",Progressing as planned,Secondary,07/11/2024
Infrastructure & Engineering,Performance Measure 4,"Energy used to deliver all City services, per Calgarian (megawatt hours equivalent)",Climate,1,1,1,The latest energy per capita metric is 0.9722 MWhe (mega watt hour equivalent) per citizen. This metric is calculated based on the total energy used by The City in the most recent 12-month period with available energy data and the City's population during that time. The significant year-over-year increase in population between 2023 and 2024 is a notable driver for changes to our energy per capita metric compared to last year.,Progressing as planned,Primary,07/11/2024
Insurance & Claims,Performance Measure 1,Average time to respond to a Calgarian on a new claim (days),Not Applicable,2,2,1,"Through automation and service improvement initiatives, the average time to respond to a Calgarian on a new claim is now 1.8 business days. At the end of this budget cycle (2026), the target is to achieve an average time of 1 business day and we are currently progressing as planned.",Progressing as planned,Not Applicable,07/23/2024
Insurance & Claims,Performance Measure 2,Average caseload per adjuster,Not Applicable,265,263,250,"The decrease in the average number of files per adjuster is progressing as planned, and is trending towards 250 active files by the end of this budget cycle. The increase in reported pothole claims this year has not significantly affected progress on this measure.",Progressing as planned,Not Applicable,07/22/2024
IT Solutions & Support,Performance Measure 1,Overall Satisfaction with IT (per cent),Not Applicable,0,95,90,"This measure reflects IT's client satisfaction in areas such as equipment availability and reliability, response time, business support services, and new technologies that support changing business needs. Since 2016, Information Technology has maintained an overall client satisfaction value of between 91 and 92 per cent. In 2024, this value rose to an all-time high of 95 per cent.  In addition, the percentage of “Very Satisfied” respondents increased from 44 per cent in 2016 to 57 per cent in 2024.",Progressing as planned,Not Applicable,07/19/2024
IT Solutions & Support,Performance Measure 2,Number of Community Business Ideas Supported Through Living Labs,Not Applicable,79,42,130,"To build on Calgary’s reputation as a leader in supporting innovation, The City of Calgary is currently hosting 42 active initiatives for Living Labs. These cater to a wide array of needs from businesses and researchers spanning various domains and include drone technology, Light Detection and Ranging (LiDAR) scanning, asset and vehicle tracking, smart furniture, noise-cancelling technology, and a range of Internet of Things applications. Living Labs is undergoing significant revisions in its processes, procedures, and metrics to enhance the consistency and reliability of the process while also improving reporting capabilities.",Progressing as planned,Not Applicable,07/19/2024
IT Solutions & Support,Performance Measure 3,IT Service Desk Phone Calls with First Contact Resolution (per cent),Not Applicable,67,67,68,"First contact resolution is considered an industry standard for measuring call 
center performance. Since 2018, the rate of first contact resolution has been tracking 
between 64 and 69 per cent. This level of performance is consistent with the percentages reported by similar organizations. As the complexity of The City's technology environment increases, it is anticipated that the Service Desk will need to send more calls to other groups for resolution, which will cause the First Contact Resolution numbers to start to trend lower year-over-year.",Progressing as planned,Not Applicable,07/19/2024
IT Solutions & Support,Performance Measure 4,Number of Connections to Free Wi-Fi in Public Locations (millions),Social Equity,8,3,10,"As part of The City's Public Wi-Fi program, free public Wi-Fi service is available at 79 different City locations, including all City-owned arenas, indoor pools, art centers, leisure centers, and Light Rail Transit (LRT) platforms.  Since 2014, there have been over 93 million connections to The City's free public Wi-Fi service.",Progressing as planned,Primary,07/19/2024
IT Solutions & Support,Performance Measure 5,Low Powered End User Computing Devices as a Percentage of Overall Devices (per cent),Climate,73,81,60,"With approximately 14,000 computing devices at The City, reducing power consumption results in a positive impact in support of climate resilience. Information Technology, in partnership with its hardware vendors, works to standardize technology devices that have lower power consumption and configures device settings to reduce power.  Currently, 81 per cent of The City’s computing devices are considered low wattage according to Energy Star ratings (less than 30 kilowatt-hours).",Progressing as planned,Primary,07/19/2024
Land Development & Sales,Performance Measure 1,Industrial land sales (millions of dollars),Not Applicable,37,0,37,"Constellation Industrial Park commenced sales on April 15, 2024. With approximately 48 acres of land available for sale in Phase 1A, negotiations with potential purchasers are advancing as planned. In addition, fully serviced lots were made available for sale at Midfield Heights in June 2024.",Progressing as planned,Primary,07/09/2024
Land Development & Sales,Performance Measure 2,Increase in assessed value from land and improvements (millions of dollars),Not Applicable,328,0,177,,Not reported,Not Applicable,
